weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
0.565,-0.95,0.435,-0.849,-0.142,0.81,-0.014,0.606,"[0, 1, 2, 3, 4, 5, 6]",2284.0
0.673,-0.09,0.361,0.041,0.685,0.828,0.999,0.977,"[0, 1, 2, 3, 4, 5, 6]",377.0
-0.929,0.329,-0.777,0.134,-0.962,-0.542,0.683,0.266,"[0, 1, 2, 3, 4, 5, 6]",332.0
-0.841,0.412,-0.373,-0.626,-0.377,-0.504,-0.429,-0.217,"[0, 1, 2, 3, 4, 5, 6]",185.0
-0.04,0.65,-0.481,-0.529,-0.836,0.653,-0.747,-0.43,"[0, 1, 2, 3, 4, 5, 6]",2178.0
0.273,0.357,0.856,0.771,-0.687,0.611,-0.86,0.849,"[0, 1, 2, 3, 4, 5, 6]",2176.0
0.022,-0.105,-0.106,-0.305,-0.077,-0.208,-0.969,-0.862,"[0, 1, 2, 3, 4, 5, 6]",988.0
0.086,0.516,-0.475,-0.556,0.847,-0.145,-0.573,0.088,"[0, 1, 2, 3, 4, 5, 6]",2172.0
0.706,-0.099,-0.529,0.865,0.839,0.897,0.995,0.713,"[0, 1, 2, 3, 4, 5, 6]",2170.0
0.796,-0.39,-0.963,-0.47,-0.782,-0.52,-0.272,-0.632,"[0, 1, 2, 3, 4, 5, 6]",437.0
-0.657,-0.11,0.117,0.718,-0.043,0.744,-0.444,0.335,"[0, 1, 2, 3, 4, 5, 6]",443.0
-0.517,0.175,-0.927,0.64,0.89,-0.207,0.061,0.934,"[0, 1, 2, 3, 4, 5, 6]",263.0
-0.964,0.042,0.462,0.249,-0.369,-0.545,-0.416,0.456,"[0, 1, 2, 3, 4, 5, 6]",456.0
-0.877,-0.14,0.916,0.291,-0.969,-0.253,-0.884,0.82,"[0, 1, 2, 3, 4, 5, 6]",408.0
0.166,0.003,-0.87,0.974,-0.293,-0.175,-0.252,-0.923,"[0, 1, 2, 3, 4, 5, 6]",1591.0
0.788,0.517,0.722,-0.127,0.71,-0.779,-0.43,0.747,"[0, 1, 2, 3, 4, 5, 6]",1708.0
-0.338,-0.015,0.524,-0.709,0.801,-0.171,0.836,-0.266,"[0, 1, 2, 3, 4, 5, 6]",424.0
0.254,0.791,-0.157,0.636,0.176,0.327,-0.849,0.16,"[0, 1, 2, 3, 4, 5, 6]",1378.0
-0.874,0.877,0.415,-0.244,-0.263,0.739,-0.732,-0.506,"[0, 1, 2, 3, 4, 5, 6]",136.0
0.697,0.871,-0.171,-0.231,-0.995,0.11,-0.338,-0.344,"[0, 1, 2, 3, 4, 5, 6]",188.0
-0.944,0.198,0.243,0.591,-0.013,0.404,-0.966,0.858,"[0, 1, 2, 3, 4, 5, 6]",2117.0
-0.452,0.457,0.548,0.449,0.274,0.892,0.378,-0.112,"[0, 1, 2, 3, 4, 5, 6]",2288.0
0.86,-0.141,-0.888,0.947,0.911,-0.088,-0.221,-0.516,"[0, 1, 2, 3, 4, 5, 6]",1728.0
0.475,0.714,-0.178,-0.935,0.398,0.703,0.881,0.51,"[0, 1, 2, 3, 4, 5, 6]",2146.0
