weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
-0.645,-0.659,-0.945,-0.683,-0.451,-0.16,0.205,0.906,"[0, 1, 2, 3, 4, 5, 6, 7]",3479.0
0.469,0.677,0.27,0.581,0.226,-0.212,0.653,-0.792,"[0, 1, 2, 3, 4, 5, 6, 7]",189.0
-0.936,-0.396,0.484,0.497,-0.484,0.091,0.073,0.714,"[0, 1, 2, 3, 4, 5, 6, 7]",188.0
0.565,0.355,0.553,0.24,0.636,0.767,0.034,-0.556,"[0, 1, 2, 3, 4, 5, 6, 7]",140.0
0.723,-0.1,0.078,0.661,0.726,-0.851,0.042,0.689,"[0, 1, 2, 3, 4, 5, 6, 7]",159.0
-0.779,-0.548,0.428,-0.98,-0.208,-0.888,-0.778,-0.005,"[0, 1, 2, 3, 4, 5, 6, 7]",200.0
0.392,-0.818,0.192,0.631,-0.091,0.852,0.683,-0.97,"[0, 1, 2, 3, 4, 5, 6, 7]",197.0
-0.785,-0.409,-0.162,-0.705,-0.369,0.901,-0.715,0.326,"[0, 1, 2, 3, 4, 5, 6, 7]",218.0
0.156,0.77,-0.863,0.487,-0.8,-0.973,-0.406,-0.02,"[0, 1, 2, 3, 4, 5, 6, 7]",261.0
0.543,0.462,-0.66,0.028,0.261,0.315,0.327,-0.754,"[0, 1, 2, 3, 4, 5, 6, 7]",192.0
-0.882,0.467,-0.395,0.628,-0.419,-0.082,-0.768,0.481,"[0, 1, 2, 3, 4, 5, 6, 7]",233.0
-0.676,0.44,0.065,0.915,-0.285,-0.638,0.11,0.686,"[0, 1, 2, 3, 4, 5, 6, 7]",199.0
0.808,0.342,0.772,-0.551,0.14,0.501,-0.094,0.31,"[0, 1, 2, 3, 4, 5, 6, 7]",109.0
-0.56,0.193,0.376,-0.648,0.978,-0.709,0.776,0.897,"[0, 1, 2, 3, 4, 5, 6, 7]",213.0
-0.83,-0.579,-0.326,-0.887,0.032,-0.205,-0.93,0.214,"[0, 1, 2, 3, 4, 5, 6, 7]",264.0
0.687,-0.775,-0.28,0.063,-0.629,-0.442,-0.896,-0.831,"[0, 1, 2, 3, 4, 5, 6, 7]",3504.0
-0.843,0.312,0.085,0.313,0.662,-0.717,-0.263,-0.961,"[0, 1, 2, 3, 4, 5, 6, 7]",235.0
-0.443,0.538,0.28,-0.11,0.903,0.991,-0.02,-0.61,"[0, 1, 2, 3, 4, 5, 6, 7]",185.0
-0.838,0.051,0.134,-0.395,-0.44,0.538,0.376,-0.791,"[0, 1, 2, 3, 4, 5, 6, 7]",215.0
0.754,-0.679,0.543,-0.197,0.471,-0.213,0.857,0.585,"[0, 1, 2, 3, 4, 5, 6, 7]",150.0
-0.263,0.015,-0.113,-0.48,-0.844,-0.108,0.968,0.886,"[0, 1, 2, 3, 4, 5, 6, 7]",148.0
0.896,-0.558,0.521,0.95,0.005,-0.215,-0.771,-0.741,"[0, 1, 2, 3, 4, 5, 6, 7]",158.0
0.414,-0.445,-0.274,-0.161,-0.579,-0.343,0.691,0.058,"[0, 1, 2, 3, 4, 5, 6, 7]",256.0
-0.295,0.603,0.417,0.153,0.278,0.338,-0.258,-0.424,"[0, 1, 2, 3, 4, 5, 6, 7]",137.0
