weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
0.849,-0.623,0.372,-0.488,-0.082,0.563,0.851,0.533,"[0, 1, 2, 3, 4, 5, 6, 7]",133.0
-0.88,-0.619,0.875,-0.545,0.361,0.259,-0.734,-0.595,"[0, 1, 2, 3, 4, 5, 6, 7]",190.0
-0.487,0.078,0.076,-0.67,-0.629,-0.118,0.378,0.487,"[0, 1, 2, 3, 4, 5, 6, 7]",138.0
-0.199,0.476,-0.869,-0.259,0.422,0.326,-0.476,-0.123,"[0, 1, 2, 3, 4, 5, 6, 7]",408.0
-0.216,0.666,0.702,-0.339,0.322,0.888,0.607,0.271,"[0, 1, 2, 3, 4, 5, 6, 7]",163.0
-0.681,0.699,0.839,-0.038,0.822,0.386,0.441,0.92,"[0, 1, 2, 3, 4, 5, 6, 7]",197.0
-0.775,0.399,0.433,-0.893,0.957,-0.929,0.79,-0.972,"[0, 1, 2, 3, 4, 5, 6, 7]",140.0
-0.222,0.087,-0.938,0.526,0.32,-0.139,-0.301,-0.393,"[0, 1, 2, 3, 4, 5, 6, 7]",362.0
-0.749,-0.237,0.961,-0.31,-0.548,0.93,0.448,0.474,"[0, 1, 2, 3, 4, 5, 6, 7]",241.0
0.273,-0.635,-0.797,0.513,0.752,-0.38,0.064,-0.406,"[0, 1, 2, 3, 4, 5, 6, 7]",589.0
0.763,0.718,-0.607,-0.179,-0.105,-0.83,0.13,0.613,"[0, 1, 2, 3, 4, 5, 6, 7]",188.0
-0.874,-0.664,0.597,0.77,0.515,-0.795,-0.448,-0.429,"[0, 1, 2, 3, 4, 5, 6, 7]",138.0
0.589,0.653,-0.001,-0.735,-0.361,0.959,0.022,0.444,"[0, 1, 2, 3, 4, 5, 6, 7]",140.0
-0.533,0.396,0.195,0.005,-0.592,-0.85,0.738,0.864,"[0, 1, 2, 3, 4, 5, 6, 7]",188.0
0.87,-0.572,-0.162,-0.802,0.682,0.364,0.259,-0.32,"[0, 1, 2, 3, 4, 5, 6, 7]",205.0
-0.391,-0.85,-0.956,-0.001,-0.853,-0.02,0.739,-0.176,"[0, 1, 2, 3, 4, 5, 6, 7]",1091.0
-0.183,0.979,0.518,0.569,0.248,0.408,0.278,-0.618,"[0, 1, 2, 3, 4, 5, 6, 7]",136.0
0.564,0.913,0.985,-0.739,-0.654,0.322,0.202,-0.252,"[0, 1, 2, 3, 4, 5, 6, 7]",146.0
-0.034,-0.285,0.513,0.358,0.028,0.754,0.902,0.537,"[0, 1, 2, 3, 4, 5, 6, 7]",139.0
-0.056,0.089,0.309,-0.167,-0.636,-0.128,0.552,-0.178,"[0, 1, 2, 3, 4, 5, 6, 7]",148.0
-0.635,-0.948,-0.762,0.742,0.404,0.491,0.944,0.883,"[0, 1, 2, 3, 4, 5, 6, 7]",656.0
0.468,0.493,0.521,0.803,-0.556,-0.021,0.786,0.192,"[0, 1, 2, 3, 4, 5, 6, 7]",150.0
0.443,-0.202,-0.546,-0.938,0.933,0.164,0.555,0.261,"[0, 1, 2, 3, 4, 5, 6, 7]",266.0
0.851,0.145,-0.471,-0.567,-0.711,0.35,0.825,-0.572,"[0, 1, 2, 3, 4, 5, 6, 7]",178.0
